	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.0268745	0.0147125	0.0102639	0.00787464	0.00629231	0.0044804	0.00424628	0.00264469	0.00245939	0.000900496	0.00123149	0.000647366	0.000223374	0.000193406	0.000106753	0.000940521	6.6376e-05	2.98387e-05
d2_1	0.0710161	0.00485177	0.00404091	0.00310488	0.00286832	0.00252171	0.00225038	0.0012427	0.000715235	0.00127671	0.00088236	0.000760567	0.00024887	0.000452523	0.000351785	0.000131255	5.83898e-05	0.000276087	0.000219035
d2_2	0.052442	0.00500041	0.00372017	0.00326489	0.00201238	0.0018601	0.00212441	0.00162342	0.00154838	0.000513952	0.000501148	0.000258035	0.000718254	0.000117929	0.000347736	0.000322058	1.93226e-05	5.75567e-06	1.68543e-06
d2_3	0.0455579	0.00437146	0.00317617	0.00295835	0.00355801	0.00228343	0.00226956	0.00180714	0.0014233	0.000909726	0.000417654	0.0009402	0.000621689	0.000125372	2.57506e-05	0.000130613	7.91405e-06	0.000209517	2.26116e-05
d2_4	0.0325402	0.00436199	0.00277433	0.00278149	0.00230368	0.002175	0.00150832	0.00141616	0.00185419	0.000928748	0.000707445	0.000659296	0.000603688	0.000214319	0.000273235	3.34211e-05	1.56542e-06	6.90681e-05	9.49686e-06
d2_5	0.0234916	0.00390742	0.00276496	0.0022811	0.00279233	0.00225773	0.00194404	0.00146423	0.000821878	0.00091121	0.000915412	0.00107032	0.000459843	0.000471942	0.000147201	0.000207083	0.000369565	2.37421e-05	0.00035975
d2_6	0.0211538	0.00246437	0.00276142	0.00253689	0.00176331	0.00115883	0.00173944	0.00139215	0.00121503	0.000704414	0.000472753	0.000480937	0.000395785	9.0436e-05	0.000362267	0.000377959	0.000108977	1.18711e-05	8.36628e-05
d2_7	0.0187701	0.00321107	0.00206243	0.0022529	0.00198818	0.00189104	0.00152202	0.000676749	0.000993176	0.00147429	0.00118752	0.000767437	0.000450074	0.000504758	0.000482824	0.000237404	0.000101481	2.78296e-05	9.49686e-06
d2_8	0.0149236	0.00328372	0.00157078	0.00190504	0.00201924	0.00278482	0.00190773	0.00157908	0.00193138	0.000697355	0.000625745	0.000723819	0.000715239	0.000348331	0.000160026	0.000189598	5.00743e-05	4.72479e-05	0.000244335
d2_9	0.0122306	0.00256189	0.00263172	0.0031601	0.00206858	0.00154433	0.00171713	0.000968619	0.000933995	0.000492367	0.000936124	0.000548591	0.000199678	0.000389926	0	4.51101e-05	0.000118711	0	0.000356132
d2_10	0.0100341	0.00287869	0.00189137	0.00166595	0.00161794	0.00246693	0.00211485	0.00132408	0.000962337	0.000803804	0.000551666	0.000473544	0.000479239	0.000389324	0.000285923	0.00034213	3.3239e-05	0.000709551	0.000267947
d2_11	0.00761416	0.00172883	0.00183788	0.00251974	0.00149387	0.00193086	0.000956978	0.00107806	0.00112272	0.000956377	0.000519857	0.000398077	0.00123823	0.000723248	0.000872919	0.00033239	3.79874e-05	0.000175353	0.000362916
