	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0535088	0.0448944	0.0389201	0.0317941	0.0283728	0.0197507	0.0177395	0.0150573	0.0170077	0.0131876	0.00826539	0.00625589	0.00610602	0.00486923	0.00414078	0.00405998	0.00211039	0.00238356	0.00190684
d3_1	0.0193057	0.00471556	0.00270545	0.00247559	0.00199451	0.00122579	0.00119078	0.000833581	0.00206137	0.0015443	0.0010065	0.0013632	0.00124946	0.00119842	0.000882749	0.000357135	0.000813656	0.000809449	0.000171146	0.000244494
d3_2	0.0208639	0.00323107	0.00322533	0.00167649	0.00150725	0.00262954	0.00150983	0.00168137	0.00202988	0.00218364	0.00129195	0.00164335	0.00123826	0.000434532	0.00149403	0.000224569	0.00114606	0.000660133	0.000110022	0.000275055
d3_3	0.0148036	0.00208949	0.00119001	0.00245484	0.00212388	0.00095217	0.000729914	0.00134664	0.00126101	0.00137354	0.00190451	0.00105775	0.000426471	0.00020681	0.000680084	0.000791112	0.00036121	0.000122247	0.000336436	0.000791112
d3_4	0.0140279	0.00210613	0.00277501	0.00176297	0.00212132	0.00136392	0.00123324	0.0017329	0.00156382	0.00162068	0.00112284	0.0012968	0.00111378	0.00122018	0.000587168	0.00127137	6.11234e-05	0.000909774	0.00078238	0.00125303
d3_5	0.0141126	0.00182316	0.00170274	0.00159417	0.00156456	0.00341534	0.00155484	0.000810185	0.000849383	0.00134225	0.0014773	0.00110022	0.000992907	0.000524643	0.00142534	0.000776267	0.000568448	0	0.00018337	0.00174202
d3_6	0.0137703	0.00246275	0.00140899	0.00175649	0.00181034	0.00172272	0.00184844	0.00147364	0.00127878	0.00111449	0.00098496	0.000528718	0.00112615	0.000745235	0.000771174	0.000480388	0.000485481	0.00090972	0.000818617	0.0018337
d3_7	0.0102649	0.00169188	0.00130082	0.00154851	0.00189865	0.00136765	0.0016995	0.00226593	0.00101252	0.000509944	0.00045746	0.00123948	0.00039254	0.000925583	0.000409818	0.000391626	0.000971862	0.000981031	0.00105744	0.00119191
d3_8	0.0106686	0.00131602	0.00259036	0.00207176	0.00134071	0.000486317	0.00196829	0.000317706	0.00137126	0.000586213	0.000835353	0.000816342	0.000870268	0.000122683	0.000749926	0.000546472	0.000839574	0.000748762	0.000807107	0.00134777
d3_9	0.00917094	0.00221272	0.00107269	0.00180738	0.000459939	0.000914959	0.00183456	0.000627679	0.00121318	0.000669872	0.0018877	0.000588236	0.000820072	0.00058955	0.000849893	0.000938827	0.000715144	0.000550111	0.00109818	0.00131415
d3_10	0.00701302	0.00292396	0.00152939	0.00119469	0.000877572	0.00119586	0.000335618	0.00184769	0.000540664	0.0019689	0.00184422	0.000686933	0.00129294	6.11234e-05	0.00111767	0.000650528	0.000397302	0.000455647	0.00165237	0.001088
d3_11	0.00673812	0.00198656	0.00127775	0.00101071	0.0013054	0.00069204	0.000867193	0.000718289	0.000746843	0.0022023	0.000581654	0.00108523	0.00076055	0.00136305	0.000539923	0.000109863	0.000742649	0.000354516	0.000631609	0.00212709
d3_12	0.00582954	0.00145669	0.00134764	0.00138019	0.000997034	0.000988328	0.000444345	0.000974388	0.000860517	0.001119	0.000688623	0.00118211	0.000240317	0.00113619	0.000394246	0.000685019	0.0012638	0.00154642	0.000568448	0.00250606
d3_13	0.00655604	0.0015519	0.00134196	0.00142624	0.000553167	0.000236853	0.00156127	0.000465848	0.00140125	0.00050536	0.000626078	0.000869553	0.00128359	0.00136873	0.000922805	0.00144251	0.000568448	0.000513873	0.000436596	0.00182787
d3_14	0.0069049	0.00144551	0.00118573	0.00109358	0.000603812	0.000861571	0.00129733	0.00105656	0.000746724	0.000463874	0.000476216	0.00101465	0.00107272	0.000995438	0.000568448	0.00103299	0.00075793	0.000944357	0.000886289	0.00290947
d3_15	0.00510972	0.000602958	0.000243776	0.000721297	0.00115259	0.00120139	0.001151	0.000872619	0.00131581	0.00107201	0.000829532	0.000450276	0.000561908	0.000519549	0.00193659	0.000825166	0.000570485	0.000305617	0.000800717	0.00201707
d3_16	0.00473355	0.00129206	0.0010949	0.000636108	0.00137121	0.000968688	0.000326526	0.000983034	0.0011807	0.00100401	0.00128404	0.00109411	0.000764043	0.000549952	0.00054675	0.00131677	0.000314349	0.000794604	0.00075793	0.00152809
d3_17	0.0023911	0.00079075	0.000582095	0.000447353	0.000678783	0.000530345	0.000184826	9.49596e-05	0.000998852	0.00141267	0.000990199	0.000458426	0.000610143	0.000780924	0.000112642	0.000913358	0.000843503	0.000241001	0.000519549	0.00235325
d3_18	0.00219287	0.000532586	0.000996475	0.00133422	0.000725913	0.00161822	0.000672032	0.00126904	0.00169108	0.00113842	0.00124692	0.00145168	0.000733481	0.000732516	0.0014853	0.0011024	0.000433976	0.00165644	0.000977975	0.00284835
d3_19	0.00168872	0.000208111	0.000823948	0.000852216	0.000460777	0.00061435	0.000926533	0.0012763	0.00136087	0.000965472	0.000937345	0.00144048	0.000171146	6.54894e-06	0.000446201	0.00105438	0.000748762	0.000525661	0.00220917	0.00250606
d3_20	0.00455551	0.00215982	0.00166717	0.00258659	0.00224718	0.00219449	0.0035437	0.0028395	0.00268797	0.00463223	0.00623255	0.00354311	0.0045502	0.00462966	0.00406804	0.00482264	0.00770766	0.00607217	0.00682137	0.0290642
