	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.059064	0.0275653	0.0175316	0.0114178	0.00680079	0.0038869	0.00188658	0.00162098	0.000538678	0.000100951	8.76746e-05	1.33099e-05	0.000220525	1.74165e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0255111	0.0319404	0.0277584	0.0220013	0.0158942	0.0119533	0.00782344	0.00519478	0.00409552	0.00159113	0.00100153	0.000730599	0.000582979	0.000511928	0.000520957	0.000250797	6.09577e-05	2.61247e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.00700843	0.0131042	0.0164689	0.01557	0.0134395	0.0152241	0.00964961	0.00741968	0.00615935	0.00412134	0.00239648	0.00202856	0.00171631	0.000831804	0.000579192	0.000326241	0.000244313	0.000611059	4.76229e-05	1.25399e-05	3.65746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00198976	0.00388055	0.00787443	0.00818541	0.00891023	0.0120908	0.00961504	0.00618209	0.00638445	0.00469601	0.00404354	0.00315343	0.00227085	0.000904645	0.00106678	0.000815008	0.000636852	0.000530766	0.000194252	0.000276381	0.000151407	0.000175558	2.43831e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000130053	0.00116361	0.00336737	0.0040457	0.00582878	0.00656459	0.0061242	0.00680942	0.0063837	0.00556189	0.00384279	0.00527729	0.00427856	0.00104171	0.0024746	0.00142535	0.000663123	0.00131471	0.000477095	0.00084737	0.000166618	6.09577e-05	6.50215e-05	0.000219448	4.87661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	0.000115673	0.000456069	0.000688546	0.0017757	0.00310579	0.00313215	0.00421032	0.00532146	0.00613158	0.00481015	0.00688769	0.00454016	0.00272563	0.00296189	0.00354683	0.00244514	0.00160649	0.00182445	0.0011944	0.000897876	0.00062409	0.000472335	0.000195065	0.000216197	0.000148515	0	0	4.87661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	1.63294e-05	0.000330187	0.000226997	0.000687216	0.00157103	0.00166585	0.00166926	0.00308404	0.0037679	0.00406691	0.00297527	0.00459052	0.00389883	0.00266571	0.00291768	0.00315676	0.00156756	0.00171693	0.00252002	0.00167015	0.000770009	0.000721042	0.000727388	0.0003337	0.000160928	0.000219448	6.82726e-05	0.000195065	0.000146298	2.43831e-05	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	0	0	6.96659e-06	0.00037467	0.000685379	0.000445551	0.00104533	0.00164942	0.00235337	0.00239157	0.00235852	0.00337172	0.0047652	0.00288267	0.00339416	0.0028077	0.00279695	0.00207092	0.00217146	0.000965812	0.00077365	0.00115646	0.00119139	0.00100946	0.000596794	0.000243831	0.000109724	0.000601449	0.000146298	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_8	0	0	6.61826e-05	1.89095e-05	7.42764e-05	0.000324995	0.000921885	0.000723636	0.000829935	0.00163501	0.00246685	0.0035988	0.0023966	0.00256409	0.0031142	0.00241827	0.0023294	0.00197468	0.0021234	0.00225369	0.00257966	0.00187645	0.0016289	0.000752624	0.00112859	0.000424265	3.65746e-05	0.000160928	4.87661e-05	1.46298e-05	0.000219448	0.000341363	0	0	0	0	0	0	0	0	0	0
d3_9	0	0	0	2.35122e-05	0	0.000376562	0.000180344	0.000247923	0.000200984	0.000452005	0.00118913	0.000782751	0.00172491	0.00108391	0.00199987	0.00225371	0.00299009	0.00260164	0.00225042	0.00170263	0.00169613	0.00172957	0.00147158	0.00149456	0.00154786	0.00116551	0.000965569	0.000451087	0.000219448	0.000185311	0.000146298	0	0.000146298	0	0	0	0	0	0	0	0	0
d3_10	0	0	0	2.11748e-05	0	3.60119e-05	9.97489e-06	9.75323e-05	0.000311512	0.000119013	0.000250456	0.000439338	0.00096045	0.00119871	0.000876386	0.0013239	0.00228155	0.00156841	0.00229747	0.00288926	0.00236654	0.00198873	0.00266253	0.00228863	0.00113625	0.00183082	0.000484062	0.000999706	0.000574744	0.000707109	0.000146298	1.46298e-05	0	0.000219448	0	0	0	0	0	0	0	0
d3_11	0	0	0	0	0	0	2.19448e-05	0	0.000190045	0.000234077	9.28879e-06	0.000313845	0.000200406	0.000710233	0.000692479	0.0011424	0.00158527	0.00176835	0.00130693	0.00106576	0.00144615	0.00192928	0.00185938	0.00172771	0.00274437	0.00177671	0.00197712	0.00165039	0.000372713	0.00086316	0.000468155	0.000355993	0.000195065	0.000146298	0	0	0	0	0	0	0	0
d3_12	0	0	0	0	0	0	3.13497e-05	0	1.13788e-05	0	0.000367372	0.000312452	0.000193661	0.000102282	0.000128882	0.000304197	0.000295036	0.00131309	0.000846934	0.00141852	0.00159591	0.00216974	0.00179901	0.00123657	0.00106484	0.00108957	0.00122856	0.00205793	0.00129404	0.00108748	0.00158978	0.00095094	0.00064859	0.000292597	0.000357618	0.000390129	0	4.87661e-05	0	0	0	0
d3_13	0	0	0	0	0	0	0	0	0	0	1.21915e-05	0	1.46298e-05	0.000315819	0.000591696	2.19448e-05	0.000348474	0.000778041	0.00111767	0.00136023	0.00103059	0.000555121	0.000813698	0.00148737	0.00188411	0.00213839	0.00173538	0.00172144	0.00167198	0.00208719	0.00115088	0.00111187	0.00109724	0.000731492	0.000502291	0.000341363	0	0	0.000146298	0	0	0
d3_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219448	0.000146298	0	0.000146298	5.57327e-05	0.000362959	0.000643713	0.000453525	0.000436109	0.00110211	0.00172632	0.000916803	0.00135291	0.00136057	0.000721739	0.00103106	0.00145323	0.0016483	0.000780258	0.00170681	0.000902173	0.000438895	0.00025846	0.000365746	0.000292597	0	0	0.000146298	0
d3_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000234077	0.000243831	0.000282844	0.000234077	0.000670883	0.00057753	0.000643713	0.000887544	0.000665309	0.000904612	0.00161904	0.00101921	0.00095094	0.00168487	0.0025651	0.00129718	0.00192626	0.000882667	0.00146298	0.000536427	0.000292597	0.000292597	0	0	0
d3_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146298	2.43831e-05	0	0	0.000599823	0.000536427	0.000770505	0.000226414	0.00109724	0.000926556	0.000429142	0.00177509	0.00168243	0.000526674	0.00116063	0.00181654	0.0015849	0.00131669	0.00138983	0.000585194	0.000195065	0.000487661	0	0
d3_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195065	0	0.000195065	4.87661e-05	0.000146298	9.75323e-06	0.000355993	0.00059216	0.000414512	0.000736369	0.000770505	0.000853407	0.000926556	0.00156052	0.00122403	0.00197503	0.00256022	0.00056081	0.000829024	0.000780258	0.000292597	0.000292597
d3_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.31492e-05	0.000526674	0	0	0.000170681	0.000463278	0.000380376	0.000916803	0.000682726	0.000902173	0.0012923	0.00153613	0.00111187	0.00319418	0.00160928	0.00170681	0.00165805	0.00087779	0.000292597
d3_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000219448	0.000380376	0.000146298	0	0.000146298	0.000219448	0.000268214	0.000780258	0.000536427	0.000438895	0.00185311	0.0018775	0.00275529	0.00175558	0.00263337	0.00087779
