	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.00409337	0.00286217	0.00201107	0.00119795	0.00189686	0.00190725	0.00151723	0.00198364	0.00126336	0.000857295	0.00084087	0.00280668	0.000341371	0.000579632	3.44893e-05	0.000409508	4.98702e-05	0.000468313
d3_1	0.069583	0.00305477	0.00259039	0.00130177	0.0030063	0.00202112	0.000959994	0.00112741	0.000835442	0.00205944	0.000568807	0.000991878	0.000865469	0.000810959	0.000831983	0.000531252	0.000784947	0.000552545	0.00154351
d3_2	0.0497638	0.00265995	0.00412385	0.00191072	0.00292872	0.00215349	0.00334593	0.00270885	0.00167658	0.000569724	0.000771401	0.000603531	0.00226676	0.000841055	0.000454634	0.00022683	0.000250257	0.000512099	0.00030131
d3_3	0.0388919	0.00221582	0.0025597	0.00228731	0.00249676	0.00179257	0.000992861	0.00224206	0.00157748	0.0025341	0.00137697	0.00121931	0.00157915	0.00126971	0.00119226	0.000429813	0.00095238	0.000632427	0.00239993
d3_4	0.0315544	0.00377237	0.00282224	0.00157991	0.00172547	0.00201333	0.00176477	0.00280458	0.00181739	0.00274615	0.00240437	0.00185484	0.00126909	0.000512033	0.000922207	0.000675995	0.000325169	0.000246538	0.00221519
d3_5	0.0294064	0.00229102	0.00358482	0.00369818	0.00308009	0.002356	0.00169833	0.00220904	0.00160551	0.00144483	0.00170619	0.00145045	0.0015286	0.00101445	0.0010197	0.000666596	0.000861009	0.00170691	0.00174283
d3_6	0.0187113	0.00374227	0.00266011	0.00305943	0.0032376	0.00214347	0.00159864	0.00177839	0.00116127	0.00193173	0.0017117	0.00141295	0.00181235	0.000409557	0.00133239	0.00118174	0.0018045	0.000942647	0.00528677
d3_7	0.0166487	0.00167861	0.00280173	0.0025348	0.00225371	0.00286733	0.00317495	0.00197613	0.0020714	0.00239417	0.00212308	0.00210202	0.000952116	0.00168162	0.00174451	0.000653541	0.000460954	0.000518918	0.002856
d3_8	0.0155046	0.00117072	0.00165628	0.00148282	0.00318333	0.00104345	0.00153453	0.00160049	0.00156539	0.00220315	0.00218487	0.00305809	0.00169743	0.000941946	0.00221111	0.0015118	0.0008142	0.000927318	0.00470908
d3_9	0.00840292	0.00134681	0.00100415	0.001352	0.00159548	0.00162654	0.00271755	0.00167705	0.00287842	0.00189515	0.00173109	0.00236165	0.00236469	0.00175628	0.00195626	0.0013904	0.00219092	0.00147652	0.00462626
d3_10	0.00926684	0.00220445	0.000990984	0.00219682	0.00226614	0.00232341	0.0014605	0.00115076	0.00134874	0.00117982	0.00116348	0.0014884	0.00171039	0.00182457	0.00229003	0.00254411	0.00116741	0.00141901	0.00677667
d3_11	0.00612942	0.00121653	0.00226263	0.00167027	0.001879	0.0018621	0.00195638	0.00231797	0.00116522	0.00127947	0.0027452	0.000981395	0.00246745	0.000986432	0.00136168	0.00073049	0.00113557	0.000958352	0.00624995
d3_12	0.00479278	0.00122326	0.000340466	0.00108754	0.00188878	0.00100746	0.00133019	0.00243897	0.0026671	0.00158924	0.00149312	0.00135316	0.00117115	0.000852246	0.00240939	0.00072157	0.00114931	0.000658092	0.00857553
d3_13	0.00298854	0.000298978	0.000351036	5.66477e-05	0.0011396	0.00166595	0.0005579	0.00144119	0.00175708	0.00131295	0.00163968	0.00192777	0.00171889	0.00248156	0.00132987	0.001696	0.00194212	0.000581451	0.00907981
d3_14	0.00391997	0.000308078	0.00104118	0.00114374	0.000434652	0.000303737	0.00128751	0.000545961	0.00120184	0.00129213	0.000909216	0.00122233	0.000777954	0.000798962	0.00187854	0.00241242	0.00201979	0.00204845	0.00800374
d3_15	0.00119104	0.00128303	0.000505849	0.000276366	0.000381916	4.16435e-05	0.00108501	0.000903428	0.00164189	0.000993176	0.000759682	0.00128124	0.000538355	0.00139137	0.000907734	0.00219811	0.0020726	0.00141438	0.0135143
d3_16	0.00111361	0.000117023	0.000116992	2.9838e-05	0.000350975	0.000278339	0.000947074	0.0010398	0.000311977	0.00230106	0.000643453	0.00156385	0.00040947	0.00120056	0.00058149	0.000698465	0.00149764	0.0022338	0.0115535
d3_17	0.00104035	0.000436847	0.000803342	3.11977e-05	0.000662952	0.000666861	0.000467966	0.000623955	0.000260724	0.00105208	0.00068635	0.000959331	0.00041337	0.000491162	0.00109505	0.000654596	0.000735157	0.00103995	0.0123876
d3_18	6.23955e-05	0	8.09941e-05	5.45961e-05	7.79944e-05	0.000506963	0.000779944	0.000280848	3.68395e-05	5.19962e-06	0.000775487	0.00097493	0.00167333	0.000623955	0.000962757	0.000978829	0.00227545	0.00109758	0.0132343
d3_19	0.000701949	0.000311977	0.000233983	2.33983e-05	0.000260724	0.000311977	0.000233983	0.000516839	0.000187186	0.000922933	0	9.7493e-05	0.000311977	0.000704549	0.000737401	0.000467966	0.000945427	0.00105478	0.0183549
d3_20	0	0	7.79944e-05	0	0	0	0.00148189	0.000323119	0.000350975	0.000374373	0.00027298	0.000467966	0.000584958	0.000748746	0	0.000701949	0.000659052	0.000830083	0.0792759
