	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.106256	0.0298282	0.00818513	0.00276499	0.00112951	0.000322328	0.000269507	0.000216513	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.106417	0.0600193	0.0272543	0.0144046	0.00582889	0.00292318	0.00107236	0.000631615	0.000345408	2.02981e-05	0	0	0	0	0	0	0	0	0	0
d3_2	0.0316595	0.0320832	0.0250665	0.0164583	0.0103015	0.00422947	0.00214952	0.0007858	0.000346047	0.000279437	0.000154266	2.23279e-05	0.000202981	0	0	0	0	0	0	0
d3_3	0.0101676	0.0187022	0.0170502	0.012299	0.00921788	0.00761842	0.00406436	0.00218865	0.00108401	0.000516747	0.000186951	0.000142087	4.3496e-06	0	0	0	0	0	0	0
d3_4	0.00336241	0.00823471	0.0105369	0.0117147	0.00978617	0.0074752	0.00517525	0.00414944	0.00152103	0.00115655	0.000596756	9.62711e-05	0.000385664	1.01491e-05	0	0	0	0	0	0
d3_5	0.000875952	0.00407271	0.00594582	0.00796983	0.00668133	0.00708122	0.00650185	0.00317393	0.00205918	0.00171085	0.000885578	0.000400444	0.000149819	4.05962e-05	2.60976e-05	0	0	0	0	0
d3_6	0.000228468	0.00177149	0.0027791	0.00456126	0.00563219	0.00606852	0.00454486	0.00421649	0.00293243	0.00233523	0.00160162	0.000769677	0.000423941	0.000101491	0.000162385	0	0	0	0	0
d3_7	0.000390117	0.000771792	0.00160495	0.00307132	0.00423335	0.00510677	0.0045421	0.00507541	0.00390518	0.00168679	0.00245615	0.00130779	0.000828224	0.000328493	0.000254767	7.30732e-05	0.000284174	0	0	0
d3_8	0	0.000424644	0.000517701	0.00126327	0.00223148	0.00264958	0.00450353	0.00368149	0.00434726	0.0033374	0.00195544	0.00152295	0.00102245	0.000401613	0.00032477	0.000247637	0.000357247	0	0	0
d3_9	1.69151e-06	4.91021e-05	0.000397486	0.000720774	0.00156739	0.00216533	0.00330259	0.00305021	0.00319368	0.00309975	0.0031487	0.00215634	0.00136181	0.000856475	0.000492954	9.66577e-06	0.00014344	0	0	0
d3_10	0	0.00016746	0.000108257	0.000363408	0.000629605	0.00186144	0.00167892	0.00252545	0.00368816	0.00277707	0.00305566	0.00301118	0.00216494	0.00103694	0.00114075	0.000284174	0.000243577	5.27751e-05	0.000121789	0
d3_11	0	0	0	0.000496724	0.0002487	0.000747847	0.00136403	0.00166331	0.00162036	0.0023506	0.00244611	0.00262735	0.00168146	0.00201763	0.00110393	0.00064519	0.000418141	0.000162385	6.90136e-05	0
d3_12	0	0	0	0.000173211	0.000253727	0.000637159	0.000552109	0.00119237	0.00110106	0.00171355	0.00215537	0.00328511	0.00223453	0.00218988	0.000998088	0.000985909	0.0008647	0.000162385	0.000121789	0
d3_13	0	0	0	0.000345068	0	0.000255756	0.000276054	0.00080457	0.000765626	0.00181957	0.00110325	0.00224526	0.00306792	0.00259342	0.00211477	0.0017294	0.000718554	0.000304472	0.000121789	0.000121789
d3_14	0	0	0	0	0	0.00021458	4.05962e-05	0.000297521	0.000491109	0.00181087	0.00166928	0.00154469	0.0017352	0.0022125	0.00257554	0.00132344	0.00126254	0.000795686	0.000458738	2.02981e-05
d3_15	0	0	0	0	0	8.6992e-05	2.02981e-05	0.000174564	0.0002111	0.0006536	0.000943573	0.00105927	0.00206877	0.0027964	0.00269994	0.00233428	0.00247405	0.00129908	0.0010555	6.08944e-05
d3_16	0	0	0	0	0	0	0	0.000304472	3.2477e-05	0.000310271	0.000397843	0.000561968	0.00168474	0.00184713	0.00237082	0.00271183	0.00302848	0.00184713	0.00127878	0.000405962
d3_17	0	0	0	0	0	0	0	0	0.000182683	0.000202981	0.000162385	0.000629242	0.001041	0.00110016	0.00235864	0.00150206	0.0019608	0.00278084	0.00355217	0.000893117
d3_18	0	0	0	0	0	0	0	0.000162385	0	0	0.000121789	0	0.000162385	0.000316651	0.000880939	0.00202169	0.00243577	0.00267935	0.00223279	0.00174564
d3_19	0	0	0	0	0	0	0	0	0	0	0	0.000174564	0.000243577	4.05962e-05	0.000527751	0.000227339	0.00157513	0.00174564	0.0032883	0.00314621
d3_20	0	0	0	0	0	0	0	0	0	0	0	0.000162385	0.000121789	5.27751e-05	0.000284174	0.000466857	0.000548049	0.00231399	0.00418141	0.00381605
