	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.105703	0.0437666	0.0219465	0.0119376	0.00608135	0.00261728	0.00171821	0.000673164	0.00046221	0.000182161	0.000249933	3.31444e-05	7.80133e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0520318	0.0433105	0.0336371	0.0244422	0.0155863	0.0105597	0.00688444	0.00379413	0.00389682	0.00178905	0.00182433	0.00108944	0.000244524	0.00039093	0.000131296	0.000227706	4.90289e-05	5.6033e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0108763	0.0162705	0.0165081	0.0155225	0.0124953	0.0104397	0.00803101	0.0071414	0.00476659	0.0029191	0.00228377	0.00109573	0.00152465	0.00126993	0.000477371	0.000325473	0.000599673	0.000219548	0.000277177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00227794	0.00476829	0.00796	0.00749697	0.0100034	0.00821765	0.00742238	0.00609337	0.00498826	0.00551759	0.00335506	0.00308315	0.00161797	0.00198555	0.000892496	0.000863607	0.000794995	0.000343777	3.53008e-05	7.36919e-05	1.58675e-05	0.000215727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000476645	0.00168972	0.00218461	0.00407574	0.00563831	0.00631217	0.00584095	0.00603968	0.00351823	0.00490164	0.00453688	0.00287624	0.00256738	0.00172394	0.00153098	0.0012773	0.001108	0.000361088	0.000580351	0.00035255	4.85763e-05	0.000201719	8.62909e-05	1.17669e-05	0.000117669	0	0	0.000117669	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	9.72301e-05	0.000562734	0.00116935	0.00109639	0.00225846	0.00360391	0.00450255	0.00346228	0.00432527	0.00404499	0.00423491	0.00346503	0.00324486	0.003617	0.00230686	0.00299607	0.0015987	0.000382321	0.000677104	0.000630844	0.000366634	4.54478e-05	0.000199936	5.6033e-06	0	0	0	1.17669e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	1.10943e-05	9.00402e-05	0.000423951	0.000579775	0.00120534	0.00198038	0.00159286	0.00318821	0.00278075	0.00321057	0.00249447	0.00341697	0.00233104	0.00282779	0.00259962	0.00189634	0.00174806	0.00116826	0.00107209	0.00113339	0.000485806	0.000677437	0.000220108	0.000368977	3.62432e-05	0.00025495	0	7.06016e-05	0.000142884	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	0	2.10124e-06	6.06175e-06	0.000104499	0.000398506	0.000661154	0.00133602	0.000767604	0.00178041	0.00251653	0.00195144	0.00250407	0.00214634	0.00256479	0.0027831	0.00295865	0.00281741	0.00180207	0.00150243	0.00129036	0.00148926	0.000624395	0.000184349	0.000326859	0.000507137	0.000236366	0.000351047	4.20248e-06	2.74562e-05	1.96116e-05	0.000156892	0	0	0	0	0	0	0	0	0	0	0
d3_8	1.97764e-07	8.76752e-06	5.41653e-06	5.24026e-05	3.85953e-05	0.000143545	0.000709483	0.000942563	0.00122013	0.000782545	0.00127716	0.0014024	0.00196759	0.0018131	0.0022122	0.00230945	0.00237787	0.00203967	0.00139859	0.00138839	0.00134593	0.00174506	0.000839468	0.000758967	0.000247106	0.000502056	0.000405399	0.000345163	0.000333397	3.92231e-05	0	0.000274562	0.000176504	0	0.000117669	0	0	0	0	0	0	0
d3_9	0	0	2.74562e-05	1.04595e-05	8.8252e-05	6.65859e-05	0.000100571	0.000528468	0.000184607	0.000324145	0.000707098	0.00113398	0.000890658	0.00193309	0.00208798	0.00234649	0.00140667	0.0018973	0.00148907	0.0021386	0.00183769	0.00151018	0.000815187	0.00146153	0.000572284	0.00107051	0.000853103	0.000274562	0.000156892	0.000196116	0.000188271	0	0	0.000188271	0	0	0	0	0	0	0	0
d3_10	0	0	0	0	0	0	3.00541e-05	0.000142115	0.000116735	0.00018751	0.000382799	0.000493371	0.000823537	0.000602641	0.00110012	0.000781848	0.00159675	0.00206332	0.00155074	0.00141146	0.00168174	0.00223001	0.00151439	0.0013135	0.00174608	0.00123656	0.000640458	0.000735153	0.00040792	0.000509901	0.000156892	0.000240942	3.92231e-05	0	0	0	0	0	0	0	0	0
